StartDateTime,UserId,CallType,disconnectType,Total_Handle_Time,Total_Hold_Time,Total_Talk_Time
01:42.3,da7fadb4-cad9-4062-8271-bbc999ac1275,Inbound_Queue,endpoint,1188.162,0,1075.162
11:53.2,af512203-3ea2-48d5-bbf5-e46ae915d4d8,Inbound_Queue,peer,396.923,0,216.923
24:16.9,6b633a32-ec20-48f4-91dd-503d459eda1f,Inbound_Queue,peer,537.893,173.363,361.544
01:03.0,63bb6f93-004c-4a79-8d01-7de24f75241b,Inbound_Queue,peer,266.625,0,263.625
04:02.1,e47ca893-1edc-49e9-b0bd-58cde8182443,Inbound_Queue,peer,2545.198,856.591,1674.901
04:40.1,7e5d301d-a5e1-499f-8423-5300e8392c5a,Inbound_Queue,client,1027.725,20.607,1005.118
11:23.8,02709d36-9970-4d79-bc59-6c932dfd7c2e,Inbound_Queue,client,2296.168,0,2293.168
16:07.5,53d692a1-d4da-4d9d-a256-33737d264b15,Inbound_Queue,peer,1597.976,843.893,574.083
16:48.1,0ad1d053-a3a3-4056-a412-f4ac54609ed3,Inbound_Queue,peer,1155.306,320.501,654.805
17:17.2,4ff996ef-9f41-4fc7-9894-333cd0364bcc,Inbound_Queue,peer,898.486,0,718.486
23:37.8,af512203-3ea2-48d5-bbf5-e46ae915d4d8,Inbound_Queue,peer,716.046,0,536.046
23:51.3,1a84cf8f-6efc-4f95-a0bb-89f4d017a800,Inbound_Queue,peer,596.78,0,416.78
30:38.1,b4ad9889-08e7-4dd2-90c0-2fe3d2cb484a,Inbound_Queue,peer,1156.589,388.979,587.61
45:41.0,7cb2b3b9-b20b-496f-a7d1-b231ac85d46c,Inbound_Queue,peer,1334.633,599.542,555.091
45:58.4,addaecc5-bc24-44d4-883f-f667970c2545,Inbound_Queue,transfer,799.77,12.889,691.881
46:30.2,f3a9065d-c4e2-44a0-a93c-bb3495afe226,Inbound_Queue,peer,639.209,56.511,402.698
47:29.8,2f8ce95f-a182-4416-b140-458a8a0ed96c,Inbound_Queue,endpoint,182.279,0,2.279
48:41.3,37b61721-f642-4a1c-92e4-5764373107ab,Inbound_Queue,peer,1076.274,0,896.274
57:44.3,02709d36-9970-4d79-bc59-6c932dfd7c2e,Inbound_Queue,client,2074.162,154.765,1893.598
01:10.9,d8faa74c-3219-4337-850b-fb9954a4bf2a,Inbound_Queue,client,762.274,0,582.274
02:27.9,d1cd42d9-cdbb-425b-9c63-4b2de8ecc92f,Inbound_Queue,peer,1578.241,286.993,1111.248
03:03.3,991de021-0e54-4cff-a83d-793551c930d7,Inbound_Queue,peer,1280.939,0,1174.01
09:44.3,4ff996ef-9f41-4fc7-9894-333cd0364bcc,Inbound_Queue,transfer,285.452,0,105.452
22:49.9,53d692a1-d4da-4d9d-a256-33737d264b15,Inbound_Queue,peer,2547.892,0,2367.892
25:05.2,7e5d301d-a5e1-499f-8423-5300e8392c5a,Inbound_Queue,peer,529.522,105.417,421.3
36:11.7,02709d36-9970-4d79-bc59-6c932dfd7c2e,Inbound_Queue,transfer,929.297,142.06,704.237
44:54.2,b4ad9889-08e7-4dd2-90c0-2fe3d2cb484a,Inbound_Queue,peer,1311.2,771.326,359.874
45:40.6,addaecc5-bc24-44d4-883f-f667970c2545,Inbound_Queue,client,842.117,0,662.117
46:12.9,ff00ba56-0613-4822-836a-3663ff476a32,Inbound_Queue,peer,616.748,0,613.886
49:13.1,2adad817-f8f6-4b84-876b-7f2153a1232e,Inbound_Queue,peer,1096.698,0,916.698
49:22.5,63bb6f93-004c-4a79-8d01-7de24f75241b,Inbound_Queue,client,1067.802,557.81,506.992
54:29.2,20c90d44-45f8-4a87-bcc2-6951039092ad,Inbound_Queue,peer,322.645,0,319.645
55:21.9,57fe1954-e706-4ac9-a693-8f0d8b5faa5d,Inbound_Queue,peer,987.214,319.42,664.794
56:12.1,ef258981-d0bf-4b63-8904-c3eab1f74a6f,Inbound_Queue,peer,1874.388,344.408,1526.071
57:04.2,58eea8b2-12ef-4e44-b229-af25799ac3bb,Inbound_Queue,endpoint,2353.604,112.566,2061.038
57:34.6,1c2a0e5d-c17e-4919-9546-46d2d792021a,Inbound_Queue,endpoint,1564.955,0,1384.955
22:20.8,02709d36-9970-4d79-bc59-6c932dfd7c2e,Inbound_Queue,client,3804.868,192.804,3433.072
23:02.7,ffbaedee-9796-469c-89b4-fd22cec5fff7,Inbound_Queue,peer,650.871,69.252,573.946
25:33.0,2f8ce95f-a182-4416-b140-458a8a0ed96c,Inbound_Queue,endpoint,876.21,0,696.21
25:38.6,991de021-0e54-4cff-a83d-793551c930d7,Inbound_Queue,client,193.177,0,187.476
28:14.3,1a84cf8f-6efc-4f95-a0bb-89f4d017a800,Inbound_Queue,peer,507.997,0,327.997
28:20.7,629c0093-a219-49a6-bcf7-aefdf84ed746,Inbound_Queue,peer,1325.439,591.425,554.014
37:01.3,af512203-3ea2-48d5-bbf5-e46ae915d4d8,Inbound_Queue,peer,183.335,0,3.335
39:39.0,4ff996ef-9f41-4fc7-9894-333cd0364bcc,Inbound_Queue,client,727.257,0,547.257
40:59.4,d8faa74c-3219-4337-850b-fb9954a4bf2a,Inbound_Queue,client,4338.603,346.35,3812.253
41:48.0,0ad1d053-a3a3-4056-a412-f4ac54609ed3,Inbound_Queue,peer,1467.631,562.195,725.436
43:34.4,e974e08f-6dff-4187-a7c2-e21cad1e7452,Inbound_Queue,peer,3592.293,0,3589.391
44:59.0,9f3dbb17-1a42-45f6-b59c-c47b90a8a36e,Inbound_Queue,peer,1669.836,100.165,1566.671
46:58.7,4e77d158-9903-4400-8e78-0d9a23a39875,Inbound_Queue,client,19.644,0,8.644
47:15.5,610d92c5-8f00-4f56-b1ad-4ace5c1acc58,Inbound_Queue,peer,817.875,91.946,722.175
48:58.7,a30a63b9-93eb-431e-b066-efc787235721,Inbound_Queue,transfer,1938.651,81.035,1839.616
50:22.7,d1cd42d9-cdbb-425b-9c63-4b2de8ecc92f,Inbound_Queue,peer,356.04,0,176.04
54:49.0,6ddb2b56-0b3e-4a47-89f0-d49e23dcd237,Inbound_Queue,peer,1224.351,116.269,1106.082
58:42.2,20c90d44-45f8-4a87-bcc2-6951039092ad,Inbound_Queue,transfer,1376.093,230.371,1142.722
59:55.1,52e08b91-dc97-48b3-bbc5-bd48451ead22,Inbound_Queue,peer,1212.442,39.159,1075.283
00:26.2,a4ca4f9f-4cb0-4145-9b33-1bafc45fc1ff,Inbound_Queue,peer,3010.914,1596.002,1234.912
